method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,1024,1,3.752,0.260
file-disk,1024,2,2.926,0.334
file-disk,1024,3,0.658,1.484
file-disk,1024,4,1.542,0.633
file-disk,1024,5,0.857,1.139
file-disk,1024,6,0.901,1.084
file-disk,1024,7,4.129,0.236
file-disk,1024,8,0.715,1.366
file-disk,1024,9,4.929,0.198
file-disk,1024,10,1.202,0.813
file-disk,1024,11,1.255,0.778
file-disk,1024,12,2.454,0.398
file-disk,1024,13,3.709,0.263
file-disk,1024,14,3.515,0.278
file-disk,1024,15,3.912,0.250
file-disk,1024,16,2.014,0.485
file-disk,1024,17,5.688,0.172
file-disk,1024,18,2.538,0.385
file-disk,1024,19,2.075,0.471
file-disk,1024,20,1.593,0.613
file-disk,2048,1,1.150,1.698
file-disk,2048,2,4.605,0.424
file-disk,2048,3,1.857,1.052
file-disk,2048,4,1.597,1.223
file-disk,2048,5,0.923,2.117
file-disk,2048,6,4.962,0.394
file-disk,2048,7,0.711,2.747
file-disk,2048,8,0.665,2.935
file-disk,2048,9,0.674,2.899
file-disk,2048,10,0.640,3.050
file-disk,2048,11,2.501,0.781
file-disk,2048,12,2.680,0.729
file-disk,2048,13,2.221,0.879
file-disk,2048,14,0.754,2.590
file-disk,2048,15,0.898,2.175
file-disk,2048,16,1.890,1.034
file-disk,2048,17,1.751,1.115
file-disk,2048,18,0.897,2.178
file-disk,2048,19,1.447,1.349
file-disk,2048,20,1.573,1.242
file-disk,4096,1,1.741,2.243
file-disk,4096,2,1.823,2.143
file-disk,4096,3,1.368,2.855
file-disk,4096,4,1.689,2.312
file-disk,4096,5,5.492,0.711
file-disk,4096,6,1.278,3.056
file-disk,4096,7,1.234,3.166
file-disk,4096,8,4.235,0.922
file-disk,4096,9,1.355,2.882
file-disk,4096,10,1.364,2.864
file-disk,4096,11,4.541,0.860
file-disk,4096,12,1.116,3.501
file-disk,4096,13,1.438,2.717
file-disk,4096,14,0.959,4.075
file-disk,4096,15,0.626,6.236
file-disk,4096,16,0.537,7.279
file-disk,4096,17,1.423,2.745
