method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,4096,18,1.128,3.464
file-disk,4096,19,1.791,2.181
file-disk,4096,20,3.471,1.125
file-disk,8192,1,1.311,5.959
file-disk,8192,2,2.506,3.117
file-disk,8192,3,1.972,3.961
file-disk,8192,4,0.785,9.955
file-disk,8192,5,2.593,3.012
file-disk,8192,6,0.836,9.349
file-disk,8192,7,3.277,2.384
file-disk,8192,8,0.674,11.590
file-disk,8192,9,0.853,9.154
file-disk,8192,10,1.078,7.247
file-disk,8192,11,0.817,9.564
file-disk,8192,12,2.209,3.537
file-disk,8192,13,0.593,13.174
file-disk,8192,14,1.062,7.359
file-disk,8192,15,1.014,7.705
file-disk,8192,16,2.630,2.971
file-disk,8192,17,0.920,8.489
file-disk,8192,18,2.397,3.259
file-disk,8192,19,0.737,10.606
file-disk,8192,20,0.863,9.051
file-disk,16384,1,1.098,14.230
file-disk,16384,2,2.524,6.191
file-disk,16384,3,1.444,10.821
file-disk,16384,4,0.976,16.009
file-disk,16384,5,2.724,5.736
file-disk,16384,6,1.083,14.422
file-disk,16384,7,0.671,23.301
file-disk,16384,8,0.902,17.331
file-disk,16384,9,0.840,18.612
file-disk,16384,10,0.630,24.782
file-disk,16384,11,1.404,11.129
file-disk,16384,12,2.011,7.769
file-disk,16384,13,1.187,13.166
file-disk,16384,14,0.621,25.153
file-disk,16384,15,1.214,12.868
file-disk,16384,16,1.093,14.296
file-disk,16384,17,0.757,20.634
file-disk,16384,18,0.823,18.996
file-disk,16384,19,1.049,14.897
file-disk,16384,20,3.819,4.092
file-disk,32768,1,1.346,23.225
file-disk,32768,2,0.927,33.712
file-disk,32768,3,1.018,30.707
file-disk,32768,4,0.735,42.493
file-disk,32768,5,0.648,48.238
file-disk,32768,6,0.710,44.024
file-disk,32768,7,3.134,9.971
file-disk,32768,8,0.655,47.737
file-disk,32768,9,1.610,19.408
file-disk,32768,10,1.315,23.770
file-disk,32768,11,0.744,41.982
file-disk,32768,12,1.142,27.362
file-disk,32768,13,0.910,34.353
file-disk,32768,14,1.226,25.491
file-disk,32768,15,1.064,29.361
file-disk,32768,16,2.116,14.769
file-disk,32768,17,1.430,21.857
file-disk,32768,18,0.960,32.563
file-disk,32768,19,0.650,48.086
file-disk,32768,20,2.379,13.135
file-disk,65536,1,1.037,60.287
file-disk,65536,2,0.968,64.536
file-disk,65536,3,0.762,81.972
file-disk,65536,4,0.811,77.046
file-disk,65536,5,0.823,75.911
file-disk,65536,6,0.841,74.338
file-disk,65536,7,0.973,64.245
file-disk,65536,8,1.040,60.113
file-disk,65536,9,0.869,71.905
file-disk,65536,10,2.653,23.561
file-disk,65536,11,0.701,89.180
file-disk,65536,12,0.810,77.149
file-disk,65536,13,0.752,83.066
file-disk,65536,14,0.894,69.907
file-disk,65536,15,0.773,80.862
file-disk,65536,16,2.646,23.621
file-disk,65536,17,0.669,93.359
file-disk,65536,18,1.021,61.210
file-disk,65536,19,1.048,59.621
file-disk,65536,20,3.930,15.902
file-disk,131072,1,0.638,196.040
file-disk,131072,2,0.660,189.322
file-disk,131072,3,0.766,163.221
file-disk,131072,4,0.624,200.214
file-disk,131072,5,2.028,61.641
file-disk,131072,6,0.618,202.293
file-disk,131072,7,0.990,126.252
file-disk,131072,8,0.994,125.797
file-disk,131072,9,2.120,58.948
file-disk,131072,10,1.777,70.352
file-disk,131072,11,0.806,155.087
file-disk,131072,12,0.697,179.372
file-disk,131072,13,0.705,177.347
file-disk,131072,14,3.594,34.778
file-disk,131072,15,0.678,184.241
file-disk,131072,16,2.291,54.556
file-disk,131072,17,0.786,158.966
file-disk,131072,18,0.721,173.280
file-disk,131072,19,1.567,79.791
file-disk,131072,20,0.659,189.669
file-disk,262144,1,1.817,137.608
file-disk,262144,2,1.091,229.148
file-disk,262144,3,0.846,295.625
file-disk,262144,4,0.846,295.435
file-disk,262144,5,1.072,233.272
file-disk,262144,6,1.842,135.698
file-disk,262144,7,0.731,341.939
file-disk,262144,8,2.171,115.181
file-disk,262144,9,0.929,268.998
file-disk,262144,10,0.750,333.444
file-disk,262144,11,0.832,300.571
file-disk,262144,12,1.777,140.690
file-disk,262144,13,0.975,256.432
file-disk,262144,14,0.763,327.779
file-disk,262144,15,2.182,114.589
file-disk,262144,16,0.738,338.619
file-disk,262144,17,0.715,349.488
file-disk,262144,18,1.562,160.043
file-disk,262144,19,1.387,180.234
file-disk,262144,20,0.773,323.398
file-disk,524288,1,1.158,431.763
file-disk,524288,2,0.938,533.143
file-disk,524288,3,0.875,571.102
file-disk,524288,4,0.906,551.648
file-disk,524288,5,2.676,186.863
file-disk,524288,6,1.803,277.290
file-disk,524288,7,3.460,144.512
file-disk,524288,8,2.595,192.697
file-disk,524288,9,3.582,139.569
file-disk,524288,10,2.078,240.655
file-disk,524288,11,1.870,267.344
file-disk,524288,12,8.646,57.833
file-disk,524288,13,2.663,187.738
file-disk,524288,14,2.288,218.543
file-disk,524288,15,1.143,437.477
file-disk,524288,16,1.673,298.909
file-disk,524288,17,0.954,524.292
file-disk,524288,18,1.340,373.192
file-disk,524288,19,0.948,527.449
file-disk,524288,20,0.739,676.247
file-disk,1048576,1,1.738,575.209
file-disk,1048576,2,1.280,781.479
file-disk,1048576,3,1.529,654.218
file-disk,1048576,4,1.090,917.782
file-disk,1048576,5,3.640,274.722
file-disk,1048576,6,1.781,561.443
file-disk,1048576,7,1.399,714.732
file-disk,1048576,8,1.495,668.747
file-disk,1048576,9,3.647,274.226
file-disk,1048576,10,1.161,860.956
file-disk,1048576,11,1.004,996.222
file-disk,1048576,12,1.216,822.312
file-disk,1048576,13,3.707,269.727
file-disk,1048576,14,1.412,708.403
file-disk,1048576,15,1.620,617.363
file-disk,1048576,16,1.137,879.668
file-disk,1048576,17,3.432,291.375
file-disk,1048576,18,1.179,848.176
file-disk,1048576,19,1.736,575.885
file-disk,1048576,20,2.816,355.093
file-disk,2097152,1,4.220,473.882
file-disk,2097152,2,3.656,546.996
file-disk,2097152,3,2.037,981.856
file-disk,2097152,4,3.557,562.338
file-disk,2097152,5,1.932,1035.375
file-disk,2097152,6,3.530,566.499
file-disk,2097152,7,4.825,414.504
file-disk,2097152,8,2.215,902.867
file-disk,2097152,9,6.928,288.675
file-disk,2097152,10,1.993,1003.281
file-disk,2097152,11,3.413,586.081
file-disk,2097152,12,1.920,1041.553
file-disk,2097152,13,3.180,628.939
file-disk,2097152,14,1.866,1071.715
file-disk,2097152,15,3.926,509.376
file-disk,2097152,16,2.305,867.538
file-disk,2097152,17,1.880,1063.641
file-disk,2097152,18,3.995,500.683
file-disk,2097152,19,2.868,697.360
file-disk,2097152,20,2.216,902.425
file-disk,4194304,1,5.598,714.594
file-disk,4194304,2,4.047,988.498
file-disk,4194304,3,4.065,983.909
file-disk,4194304,4,5.333,750.047
file-disk,4194304,5,3.030,1320.277
file-disk,4194304,6,4.086,979.042
file-disk,4194304,7,4.295,931.252
file-disk,4194304,8,3.212,1245.233
file-disk,4194304,9,7.574,528.154
file-disk,4194304,10,3.010,1328.830
file-disk,4194304,11,4.654,859.514
file-disk,4194304,12,5.630,710.474
file-disk,4194304,13,4.419,905.276
file-disk,4194304,14,2.977,1343.522
file-disk,4194304,15,7.608,525.791
file-disk,4194304,16,3.265,1225.271
file-disk,4194304,17,5.758,694.655
file-disk,4194304,18,3.264,1225.663
file-disk,4194304,19,5.899,678.052
file-disk,4194304,20,3.364,1189.090
file-disk,8388608,1,8.820,907.077
file-disk,8388608,2,5.688,1406.552
file-disk,8388608,3,6.109,1309.472
file-disk,8388608,4,6.219,1286.467
file-disk,8388608,5,8.582,932.215
file-disk,8388608,6,5.308,1507.029
file-disk,8388608,7,9.982,801.476
file-disk,8388608,8,6.012,1330.746
file-disk,8388608,9,9.013,887.640
file-disk,8388608,10,6.085,1314.789
file-disk,8388608,11,5.728,1396.770
file-disk,8388608,12,6.902,1159.007
file-disk,8388608,13,8.018,997.708
file-disk,8388608,14,10.557,757.758
file-disk,8388608,15,8.940,894.834
file-disk,8388608,16,6.900,1159.476
file-disk,8388608,17,12.472,641.443
file-disk,8388608,18,7.140,1120.389
file-disk,8388608,19,5.947,1345.112
file-disk,8388608,20,5.054,1582.996
file-disk,16777216,1,12.523,1277.658
file-disk,16777216,2,14.249,1122.892
file-disk,16777216,3,11.724,1364.746
file-disk,16777216,4,16.144,991.057
file-disk,16777216,5,14.316,1117.663
file-disk,16777216,6,13.467,1188.111
file-disk,16777216,7,14.456,1106.791
file-disk,16777216,8,12.894,1240.907
file-disk,16777216,9,13.952,1146.772
file-disk,16777216,10,10.872,1471.653
file-disk,16777216,11,11.161,1433.595
file-disk,16777216,12,17.251,927.494
file-disk,16777216,13,11.887,1346.041
file-disk,16777216,14,11.000,1454.573
file-disk,16777216,15,14.648,1092.305
file-disk,16777216,16,11.568,1383.156
file-disk,16777216,17,13.577,1178.500
file-disk,16777216,18,11.804,1355.425
file-disk,16777216,19,13.846,1155.607
file-disk,16777216,20,11.789,1357.197
