method,size_bytes,rep,elapsed_ms,throughput_mib_s
net,524288,5,0.969,515.841
net,524288,6,0.744,671.667
net,524288,7,0.692,722.239
net,524288,8,0.709,705.301
net,524288,9,0.759,658.762
net,524288,10,0.748,668.449
net,524288,11,0.809,617.729
net,524288,12,0.830,602.500
net,524288,13,0.828,603.895
net,524288,14,0.727,687.994
net,524288,15,0.693,721.024
net,524288,16,0.744,671.817
net,524288,17,0.932,536.625
net,524288,18,1.021,489.496
net,524288,19,0.866,577.173
net,524288,20,0.847,590.464
net,1048576,1,3.162,316.247
net,1048576,2,1.194,837.404
net,1048576,3,1.095,913.520
net,1048576,4,1.088,919.152
net,1048576,5,1.114,897.868
net,1048576,6,1.073,931.894
net,1048576,7,1.049,953.327
net,1048576,8,1.180,847.578
net,1048576,9,0.979,1020.972
net,1048576,10,0.926,1079.380
net,1048576,11,0.926,1079.768
net,1048576,12,0.996,1004.520
net,1048576,13,0.876,1141.933
net,1048576,14,0.985,1015.056
net,1048576,15,0.901,1109.467
net,1048576,16,0.867,1153.458
net,1048576,17,1.222,818.470
net,1048576,18,0.913,1095.041
net,1048576,19,0.871,1147.558
net,1048576,20,0.954,1048.585
net,2097152,1,2.106,949.742
net,2097152,2,2.696,741.725
net,2097152,3,1.701,1176.038
net,2097152,4,1.862,1074.042
net,2097152,5,1.887,1060.094
net,2097152,6,2.092,955.814
net,2097152,7,2.124,941.767
net,2097152,8,2.419,826.674
net,2097152,9,1.812,1103.905
net,2097152,10,1.536,1302.154
net,2097152,11,1.853,1079.379
net,2097152,12,2.079,961.770
net,2097152,13,2.220,900.935
net,2097152,14,1.656,1207.578
net,2097152,15,1.568,1275.476
net,2097152,16,1.856,1077.828
net,2097152,17,2.857,700.086
net,2097152,18,1.618,1236.157
net,2097152,19,1.484,1347.482
net,2097152,20,1.468,1362.166
net,4194304,1,2.747,1456.311
net,4194304,2,3.291,1215.375
net,4194304,3,2.928,1366.140
net,4194304,4,3.044,1314.060
net,4194304,5,2.825,1415.909
net,4194304,6,3.309,1208.702
net,4194304,7,3.715,1076.801
net,4194304,8,3.820,1047.143
net,4194304,9,3.885,1029.723
net,4194304,10,3.282,1218.893
net,4194304,11,4.636,862.859
net,4194304,12,3.478,1150.059
net,4194304,13,3.618,1105.532
net,4194304,14,3.695,1082.690
net,4194304,15,3.478,1150.004
net,4194304,16,3.313,1207.471
net,4194304,17,3.597,1112.089
net,4194304,18,3.482,1148.834
net,4194304,19,3.392,1179.260
net,4194304,20,3.987,1003.261
net,8388608,1,9.119,877.249
net,8388608,2,7.694,1039.760
net,8388608,3,6.846,1168.566
net,8388608,4,6.407,1248.716
net,8388608,5,6.637,1205.432
net,8388608,6,6.425,1245.096
net,8388608,7,6.516,1227.794
net,8388608,8,7.680,1041.712
net,8388608,9,6.435,1243.121
net,8388608,10,6.293,1271.330
net,8388608,11,6.178,1294.926
net,8388608,12,6.394,1251.165
net,8388608,13,6.466,1237.169
net,8388608,14,7.304,1095.340
net,8388608,15,6.292,1271.414
net,8388608,16,6.577,1216.399
net,8388608,17,6.233,1283.534
net,8388608,18,6.263,1277.402
net,8388608,19,6.029,1326.810
net,8388608,20,7.440,1075.227
net,16777216,1,12.596,1270.253
net,16777216,2,11.706,1366.796
net,16777216,3,10.426,1534.686
net,16777216,4,11.102,1441.220
net,16777216,5,12.822,1247.847
net,16777216,6,10.362,1544.147
net,16777216,7,11.870,1347.960
net,16777216,8,12.737,1256.174
net,16777216,9,10.196,1569.179
net,16777216,10,10.298,1553.737
net,16777216,11,10.911,1466.354
net,16777216,12,10.713,1493.466
net,16777216,13,10.635,1504.419
net,16777216,14,10.630,1505.162
net,16777216,15,10.258,1559.809
net,16777216,16,10.308,1552.211
net,16777216,17,10.885,1469.885
net,16777216,18,11.004,1454.022
net,16777216,19,10.573,1513.301
net,16777216,20,11.724,1364.707
