method,size_bytes,rep,elapsed_ms,throughput_mib_s
net,524288,5,1.729,289.122
net,524288,6,1.723,290.255
net,524288,7,1.688,296.128
net,524288,8,3.129,159.800
net,524288,9,1.516,329.915
net,524288,10,1.575,317.519
net,524288,11,1.340,373.076
net,524288,12,1.241,402.847
net,524288,13,1.208,414.007
net,524288,14,1.248,400.601
net,524288,15,0.871,574.163
net,524288,16,1.178,424.418
net,524288,17,1.224,408.566
net,524288,18,1.236,404.462
net,524288,19,1.278,391.262
net,524288,20,1.325,377.453
net,1048576,1,2.102,475.634
net,1048576,2,2.127,470.247
net,1048576,3,2.035,491.461
net,1048576,4,3.026,330.437
net,1048576,5,1.387,720.916
net,1048576,6,1.826,547.758
net,1048576,7,2.836,352.573
net,1048576,8,4.296,232.759
net,1048576,9,9.626,103.888
net,1048576,10,3.999,250.050
net,1048576,11,2.833,352.931
net,1048576,12,1.950,512.744
net,1048576,13,1.978,505.625
net,1048576,14,2.162,462.642
net,1048576,15,3.905,256.093
net,1048576,16,1.932,517.710
net,1048576,17,1.692,591.046
net,1048576,18,2.215,451.544
net,1048576,19,2.041,489.896
net,1048576,20,2.004,499.023
net,2097152,1,3.633,550.478
net,2097152,2,3.978,502.823
net,2097152,3,2.258,885.903
net,2097152,4,2.260,884.858
net,2097152,5,2.814,710.637
net,2097152,6,2.262,884.303
net,2097152,7,2.247,889.960
net,2097152,8,2.237,893.988
net,2097152,9,4.223,473.546
net,2097152,10,2.377,841.352
net,2097152,11,2.593,771.431
net,2097152,12,2.266,882.613
net,2097152,13,2.264,883.343
net,2097152,14,2.321,861.527
net,2097152,15,4.089,489.147
net,2097152,16,2.445,818.163
net,2097152,17,2.223,899.786
net,2097152,18,2.279,877.514
net,2097152,19,4.024,497.013
net,2097152,20,2.244,891.249
net,4194304,1,5.166,774.337
net,4194304,2,7.229,553.292
net,4194304,3,4.357,918.151
net,4194304,4,4.208,950.674
net,4194304,5,4.424,904.202
net,4194304,6,4.540,881.025
net,4194304,7,5.387,742.477
net,4194304,8,10.895,367.125
net,4194304,9,4.398,909.453
net,4194304,10,4.246,941.998
net,4194304,11,5.357,746.750
net,4194304,12,7.269,550.291
net,4194304,13,7.701,519.391
net,4194304,14,11.007,363.394
net,4194304,15,9.262,431.886
net,4194304,16,6.216,643.544
net,4194304,17,7.104,563.103
net,4194304,18,6.062,659.835
net,4194304,19,6.161,649.219
net,4194304,20,5.658,706.969
net,8388608,1,9.839,813.077
net,8388608,2,12.765,626.728
net,8388608,3,12.098,661.282
net,8388608,4,10.242,781.069
net,8388608,5,10.695,748.016
net,8388608,6,11.324,706.459
net,8388608,7,12.454,642.338
net,8388608,8,10.991,727.846
net,8388608,9,12.138,659.112
net,8388608,10,13.641,586.462
net,8388608,11,10.730,745.579
net,8388608,12,10.670,749.748
net,8388608,13,11.610,689.076
net,8388608,14,11.951,669.381
net,8388608,15,11.157,717.036
net,8388608,16,12.349,647.808
net,8388608,17,10.705,747.343
net,8388608,18,10.309,775.986
net,8388608,19,10.856,736.931
net,8388608,20,10.478,763.492
