method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,131072,15,1.293,96.668
file-disk,131072,16,1.249,100.110
file-disk,131072,17,1.290,96.912
file-disk,131072,18,1.462,85.470
file-disk,131072,19,1.224,102.089
file-disk,131072,20,1.198,104.341
file-disk,262144,1,1.778,140.627
file-disk,262144,2,1.412,177.111
file-disk,262144,3,1.575,158.764
file-disk,262144,4,1.618,154.468
file-disk,262144,5,1.930,129.550
file-disk,262144,6,1.744,143.325
file-disk,262144,7,2.015,124.075
file-disk,262144,8,3.258,76.731
file-disk,262144,9,1.504,166.196
file-disk,262144,10,1.413,176.981
file-disk,262144,11,1.429,174.922
file-disk,262144,12,1.571,159.105
file-disk,262144,13,1.492,167.574
file-disk,262144,14,1.393,179.463
file-disk,262144,15,1.488,168.015
file-disk,262144,16,1.700,147.055
file-disk,262144,17,1.530,163.359
file-disk,262144,18,1.347,185.575
file-disk,262144,19,2.945,84.899
file-disk,262144,20,1.418,176.357
file-disk,524288,1,1.888,264.866
file-disk,524288,2,1.948,256.652
file-disk,524288,3,1.878,266.300
file-disk,524288,4,1.993,250.910
file-disk,524288,5,2.032,246.048
file-disk,524288,6,3.747,133.442
file-disk,524288,7,1.952,256.115
file-disk,524288,8,1.813,275.729
file-disk,524288,9,1.854,269.651
file-disk,524288,10,1.790,279.278
file-disk,524288,11,1.759,284.212
file-disk,524288,12,1.594,313.660
file-disk,524288,13,1.639,304.971
file-disk,524288,14,1.941,257.560
file-disk,524288,15,1.619,308.880
file-disk,524288,16,1.797,278.300
file-disk,524288,17,1.700,294.154
file-disk,524288,18,1.738,287.625
file-disk,524288,19,1.652,302.748
file-disk,524288,20,2.919,171.274
file-disk,1048576,1,2.133,468.787
file-disk,1048576,2,2.187,457.195
file-disk,1048576,3,2.341,427.153
file-disk,1048576,4,2.179,458.909
file-disk,1048576,5,3.287,304.260
file-disk,1048576,6,1.839,543.700
file-disk,1048576,7,2.009,497.667
file-disk,1048576,8,1.983,504.382
file-disk,1048576,9,3.458,289.226
file-disk,1048576,10,2.110,473.999
file-disk,1048576,11,2.013,496.884
file-disk,1048576,12,2.192,456.126
file-disk,1048576,13,2.943,339.760
file-disk,1048576,14,2.214,451.578
file-disk,1048576,15,1.889,529.334
file-disk,1048576,16,2.068,483.608
file-disk,1048576,17,3.171,315.325
