method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-disk,131072,15,2.691,46.453
file-disk,131072,16,3.498,35.737
file-disk,131072,17,2.583,48.401
file-disk,131072,18,2.943,42.475
file-disk,131072,19,2.691,46.452
file-disk,131072,20,2.845,43.944
file-disk,262144,1,2.478,100.901
file-disk,262144,2,3.684,67.853
file-disk,262144,3,2.857,87.508
file-disk,262144,4,3.367,74.244
file-disk,262144,5,3.445,72.578
file-disk,262144,6,3.665,68.207
file-disk,262144,7,39.276,6.365
file-disk,262144,8,3.616,69.139
file-disk,262144,9,3.609,69.274
file-disk,262144,10,2.481,100.769
file-disk,262144,11,2.716,92.046
file-disk,262144,12,2.744,91.111
file-disk,262144,13,4.678,53.440
file-disk,262144,14,2.767,90.346
file-disk,262144,15,3.412,73.261
file-disk,262144,16,2.496,100.159
file-disk,262144,17,2.686,93.075
file-disk,262144,18,2.858,87.480
file-disk,262144,19,3.490,71.626
file-disk,262144,20,3.347,74.698
file-disk,524288,1,2.465,202.864
file-disk,524288,2,3.896,128.350
file-disk,524288,3,4.467,111.929
file-disk,524288,4,3.982,125.564
file-disk,524288,5,5.843,85.574
file-disk,524288,6,31.255,15.998
file-disk,524288,7,3.397,147.200
file-disk,524288,8,3.618,138.214
file-disk,524288,9,3.586,139.421
file-disk,524288,10,4.534,110.286
file-disk,524288,11,3.704,135.004
file-disk,524288,12,3.504,142.697
file-disk,524288,13,3.543,141.127
file-disk,524288,14,2.716,184.120
file-disk,524288,15,3.540,141.253
file-disk,524288,16,4.559,109.671
file-disk,524288,17,4.587,109.004
file-disk,524288,18,2.880,173.589
file-disk,524288,19,3.250,153.840
file-disk,524288,20,2.869,174.292
file-disk,1048576,1,44.352,22.547
file-disk,1048576,2,3.692,270.850
file-disk,1048576,3,5.515,181.309
file-disk,1048576,4,3.592,278.387
file-disk,1048576,5,3.508,285.029
file-disk,1048576,6,3.626,275.754
file-disk,1048576,7,3.674,272.158
file-disk,1048576,8,3.313,301.837
file-disk,1048576,9,3.603,277.508
file-disk,1048576,10,4.565,219.046
file-disk,1048576,11,4.601,217.336
file-disk,1048576,12,3.905,256.079
file-disk,1048576,13,3.461,288.955
