method,size_bytes,rep,elapsed_ms,throughput_mib_s
net,1024,1,31.179,0.031
net,1024,2,2.206,0.443
net,1024,3,1.266,0.772
net,1024,4,1.137,0.859
net,1024,5,8.097,0.121
net,1024,6,1.181,0.827
net,1024,7,0.988,0.989
net,1024,8,0.969,1.008
net,1024,9,1.305,0.749
net,1024,10,1.109,0.880
net,1024,11,0.804,1.215
net,1024,12,1.047,0.933
net,1024,13,1.244,0.785
net,1024,14,0.845,1.156
net,1024,15,0.921,1.060
net,1024,16,0.942,1.037
net,1024,17,0.763,1.280
net,1024,18,0.702,1.391
net,1024,19,0.704,1.388
net,1024,20,0.455,2.147
net,2048,1,0.509,3.835
net,2048,2,0.670,2.915
net,2048,3,0.582,3.358
net,2048,4,0.512,3.818
net,2048,5,0.477,4.096
net,2048,6,0.951,2.055
net,2048,7,0.523,3.735
net,2048,8,0.776,2.516
net,2048,9,0.444,4.401
net,2048,10,0.382,5.113
net,2048,11,0.407,4.802
net,2048,12,0.520,3.755
net,2048,13,0.592,3.299
net,2048,14,0.588,3.322
net,2048,15,0.483,4.042
net,2048,16,0.478,4.083
net,2048,17,0.423,4.617
net,2048,18,0.522,3.738
net,2048,19,0.478,4.082
net,2048,20,0.505,3.869
net,4096,1,0.404,9.677
net,4096,2,0.714,5.471
net,4096,3,0.617,6.336
net,4096,4,0.793,4.925
net,4096,5,0.464,8.411
net,4096,6,0.507,7.702
net,4096,7,0.477,8.193
net,4096,8,0.533,7.325
net,4096,9,0.641,6.094
net,4096,10,0.415,9.415
net,4096,11,0.487,8.022
net,4096,12,0.710,5.505
net,4096,13,0.657,5.950
net,4096,14,0.442,8.841
net,4096,15,0.479,8.156
net,4096,16,0.462,8.460
net,4096,17,0.466,8.375
net,4096,18,0.440,8.883
net,4096,19,0.463,8.435
net,4096,20,0.846,4.618
net,8192,1,0.526,14.866
net,8192,2,0.517,15.099
net,8192,3,0.438,17.833
net,8192,4,0.409,19.094
net,8192,5,0.381,20.501
net,8192,6,0.465,16.786
net,8192,7,0.468,16.708
net,8192,8,0.456,17.120
net,8192,9,0.447,17.471
net,8192,10,0.581,13.446
net,8192,11,0.954,8.189
net,8192,12,0.748,10.444
net,8192,13,0.451,17.326
net,8192,14,0.571,13.675
net,8192,15,0.594,13.149
net,8192,16,0.577,13.550
net,8192,17,0.547,14.272
net,8192,18,0.475,16.430
net,8192,19,0.578,13.511
net,8192,20,0.508,15.373
net,16384,1,0.660,23.676
net,16384,2,0.507,30.821
net,16384,3,0.489,31.953
net,16384,4,0.751,20.810
net,16384,5,0.604,25.869
net,16384,6,0.692,22.584
net,16384,7,0.523,29.899
net,16384,8,0.641,24.357
net,16384,9,0.727,21.504
net,16384,10,0.678,23.034
net,16384,11,0.585,26.698
net,16384,12,0.577,27.060
net,16384,13,0.549,28.482
net,16384,14,43.353,0.360
net,16384,15,1.130,13.824
net,16384,16,0.560,27.894
net,16384,17,0.625,24.983
net,16384,18,0.458,34.137
net,16384,19,0.461,33.927
net,16384,20,0.476,32.806
net,32768,1,0.522,59.852
net,32768,2,0.435,71.791
net,32768,3,0.546,57.213
net,32768,4,0.537,58.180
net,32768,5,0.557,56.079
net,32768,6,0.509,61.370
net,32768,7,0.513,60.916
net,32768,8,0.432,72.296
net,32768,9,0.433,72.213
net,32768,10,0.482,64.840
net,32768,11,0.470,66.472
net,32768,12,0.455,68.650
net,32768,13,0.495,63.158
net,32768,14,0.470,66.542
net,32768,15,0.480,65.082
net,32768,16,0.556,56.171
net,32768,17,0.455,68.719
net,32768,18,0.382,81.744
net,32768,19,0.371,84.175
net,32768,20,0.487,64.207
net,65536,1,0.683,91.519
net,65536,2,0.484,129.076
net,65536,3,0.441,141.737
net,65536,4,0.430,145.405
net,65536,5,0.643,97.194
net,65536,6,0.594,105.145
net,65536,7,0.542,115.367
net,65536,8,0.476,131.210
net,65536,9,0.541,115.482
net,65536,10,0.533,117.279
net,65536,11,0.500,125.104
net,65536,12,1.055,59.235
net,65536,13,0.741,84.398
net,65536,14,1.891,33.056
net,65536,15,0.964,64.812
net,65536,16,0.452,138.427
net,65536,17,0.471,132.556
net,65536,18,0.495,126.199
net,65536,19,0.533,117.252
net,65536,20,0.455,137.425
net,131072,1,0.722,173.190
net,131072,2,0.629,198.689
net,131072,3,0.591,211.432
net,131072,4,0.458,272.851
net,131072,5,0.525,238.284
net,131072,6,0.491,254.690
net,131072,7,0.507,246.731
net,131072,8,0.433,288.822
net,131072,9,0.469,266.762
net,131072,10,0.504,247.770
net,131072,11,0.500,250.021
net,131072,12,0.585,213.706
net,131072,13,0.633,197.563
net,131072,14,0.492,254.237
net,131072,15,0.483,258.688
net,131072,16,0.520,240.442
net,131072,17,0.513,243.467
net,131072,18,0.621,201.288
net,131072,19,0.495,252.461
net,131072,20,0.556,224.988
net,262144,1,0.865,288.920
net,262144,2,0.803,311.236
net,262144,3,0.929,269.240
net,262144,4,0.841,297.295
net,262144,5,0.944,264.842
net,262144,6,1.007,248.221
net,262144,7,0.936,266.999
net,262144,8,0.741,337.192
net,262144,9,0.834,299.895
net,262144,10,0.780,320.701
net,262144,11,0.839,297.900
net,262144,12,1.162,215.177
net,262144,13,1.040,240.288
net,262144,14,0.767,325.963
net,262144,15,0.875,285.878
net,262144,16,0.787,317.696
net,262144,17,1.241,201.417
net,262144,18,0.988,253.004
net,262144,19,0.784,318.979
net,262144,20,0.777,321.888
net,524288,1,1.380,362.242
net,524288,2,1.268,394.179
net,524288,3,1.830,273.243
net,524288,4,1.103,453.395
net,524288,5,1.030,485.221
net,524288,6,36.187,13.817
net,524288,7,1.219,410.074
net,524288,8,1.161,430.834
net,524288,9,1.450,344.798
net,524288,10,1.288,388.286
net,524288,11,1.495,334.420
net,524288,12,1.213,412.201
net,524288,13,1.421,351.968
net,524288,14,1.431,349.528
net,524288,15,1.261,396.589
net,524288,16,1.224,408.469
net,524288,17,1.288,388.312
net,524288,18,1.192,419.434
net,524288,19,1.421,351.813
net,524288,20,1.209,413.636
net,1048576,1,2.151,464.954
net,1048576,2,5.451,183.461
net,1048576,3,1.956,511.226
net,1048576,4,1.902,525.831
net,1048576,5,1.754,570.044
net,1048576,6,2.108,474.336
net,1048576,7,1.789,559.050
net,1048576,8,1.512,661.303
net,1048576,9,1.124,889.910
net,1048576,10,1.581,632.628
net,1048576,11,1.399,714.881
net,1048576,12,1.377,726.480
net,1048576,13,1.270,787.634
net,1048576,14,1.207,828.758
net,1048576,15,1.505,664.581
net,1048576,16,1.749,571.769
net,1048576,17,1.865,536.181
net,1048576,18,2.184,457.963
net,1048576,19,1.764,567.014
net,1048576,20,1.783,560.852
net,2097152,1,3.963,504.642
net,2097152,2,2.551,784.071
net,2097152,3,33.076,60.468
net,2097152,4,3.387,590.471
net,2097152,5,2.984,670.344
net,2097152,6,3.235,618.318
net,2097152,7,3.102,644.702
net,2097152,8,3.123,640.478
net,2097152,9,2.242,892.227
net,2097152,10,2.398,834.072
net,2097152,11,2.643,756.859
net,2097152,12,2.968,673.769
net,2097152,13,3.604,554.933
net,2097152,14,2.554,783.200
net,2097152,15,3.244,616.539
net,2097152,16,2.361,847.278
net,2097152,17,3.343,598.310
net,2097152,18,2.434,821.594
net,2097152,19,1.991,1004.289
net,2097152,20,1.884,1061.806
net,4194304,1,4.135,967.420
net,4194304,2,3.668,1090.376
net,4194304,3,45.072,88.746
net,4194304,4,5.684,703.725
net,4194304,5,4.437,901.442
net,4194304,6,6.167,648.631
net,4194304,7,6.509,614.573
net,4194304,8,6.217,643.419
net,4194304,9,4.361,917.212
net,4194304,10,4.475,893.880
net,4194304,11,6.495,615.894
net,4194304,12,4.537,881.729
net,4194304,13,3.947,1013.374
net,4194304,14,6.077,658.229
net,4194304,15,39.965,100.088
net,4194304,16,5.750,695.592
net,4194304,17,4.290,932.419
net,4194304,18,5.121,781.066
net,4194304,19,4.837,827.037
net,4194304,20,4.545,880.056
net,8388608,1,10.137,789.182
net,8388608,2,11.192,714.791
net,8388608,3,7.646,1046.333
net,8388608,4,8.407,951.574
net,8388608,5,40.565,197.215
net,8388608,6,7.706,1038.180
net,8388608,7,8.923,896.601
net,8388608,8,7.613,1050.777
net,8388608,9,6.858,1166.485
net,8388608,10,7.391,1082.458
net,8388608,11,7.935,1008.165
net,8388608,12,45.622,175.353
net,8388608,13,10.739,744.957
net,8388608,14,8.352,957.802
net,8388608,15,8.383,954.265
net,8388608,16,8.600,930.264
net,8388608,17,7.247,1103.931
net,8388608,18,7.742,1033.336
net,8388608,19,8.115,985.793
net,8388608,20,41.669,191.989
net,16777216,1,15.658,1021.820
net,16777216,2,36.548,437.781
net,16777216,3,148.849,107.491
net,16777216,4,36.366,439.969
net,16777216,5,79.754,200.616
net,16777216,6,27.803,575.468
net,16777216,7,24.950,641.271
net,16777216,8,43.223,370.172
net,16777216,9,22.376,715.056
net,16777216,10,23.746,673.804
net,16777216,11,41.147,388.849
net,16777216,12,22.235,719.574
net,16777216,13,30.372,526.805
net,16777216,14,13.387,1195.189
net,16777216,15,13.172,1214.725
net,16777216,16,39.413,405.960
net,16777216,17,15.253,1048.942
net,16777216,18,12.872,1243.008
net,16777216,19,16.446,972.856
net,16777216,20,39.051,409.720
