method,size_bytes,rep,elapsed_ms,throughput_mib_s
file-memory,1024,1,2.966,0.329
file-memory,1024,2,2.241,0.436
file-memory,1024,3,1.704,0.573
file-memory,1024,4,2.999,0.326
file-memory,1024,5,2.248,0.434
file-memory,1024,6,1.685,0.580
file-memory,1024,7,1.890,0.517
file-memory,1024,8,1.729,0.565
file-memory,1024,9,2.423,0.403
file-memory,1024,10,1.686,0.579
file-memory,1024,11,1.601,0.610
file-memory,1024,12,1.788,0.546
file-memory,1024,13,1.649,0.592
file-memory,1024,14,1.807,0.540
file-memory,1024,15,1.606,0.608
file-memory,1024,16,1.615,0.605
file-memory,1024,17,1.945,0.502
file-memory,1024,18,1.718,0.569
file-memory,1024,19,1.628,0.600
file-memory,1024,20,1.695,0.576
file-memory,2048,1,1.797,1.087
file-memory,2048,2,2.150,0.908
file-memory,2048,3,1.498,1.304
file-memory,2048,4,1.540,1.268
file-memory,2048,5,2.086,0.936
file-memory,2048,6,1.602,1.219
file-memory,2048,7,1.851,1.055
file-memory,2048,8,1.824,1.071
file-memory,2048,9,1.779,1.098
file-memory,2048,10,1.731,1.128
file-memory,2048,11,1.853,1.054
file-memory,2048,12,1.820,1.073
file-memory,2048,13,1.511,1.293
file-memory,2048,14,1.938,1.008
file-memory,2048,15,1.965,0.994
file-memory,2048,16,1.725,1.132
file-memory,2048,17,1.569,1.245
file-memory,2048,18,1.877,1.041
file-memory,2048,19,1.605,1.217
file-memory,2048,20,1.819,1.074
file-memory,4096,1,1.841,2.121
file-memory,4096,2,1.638,2.385
file-memory,4096,3,1.734,2.253
file-memory,4096,4,2.189,1.785
file-memory,4096,5,1.563,2.498
file-memory,4096,6,1.593,2.451
file-memory,4096,7,2.052,1.904
file-memory,4096,8,1.673,2.335
file-memory,4096,9,1.595,2.448
file-memory,4096,10,2.233,1.749
file-memory,4096,11,2.583,1.512
file-memory,4096,12,1.651,2.367
file-memory,4096,13,1.682,2.323
file-memory,4096,14,1.876,2.082
file-memory,4096,15,1.637,2.386
file-memory,4096,16,1.654,2.362
file-memory,4096,17,1.722,2.269
file-memory,4096,18,2.041,1.914
file-memory,4096,19,1.510,2.588
file-memory,4096,20,1.796,2.175
file-memory,8192,1,1.778,4.393
file-memory,8192,2,1.964,3.978
file-memory,8192,3,1.600,4.884
file-memory,8192,4,1.961,3.985
file-memory,8192,5,1.782,4.385
file-memory,8192,6,1.823,4.285
file-memory,8192,7,1.788,4.369
file-memory,8192,8,1.888,4.138
file-memory,8192,9,1.494,5.230
file-memory,8192,10,2.011,3.884
file-memory,8192,11,1.670,4.678
file-memory,8192,12,1.607,4.862
file-memory,8192,13,1.932,4.044
file-memory,8192,14,1.681,4.648
file-memory,8192,15,1.748,4.469
file-memory,8192,16,1.858,4.204
file-memory,8192,17,1.827,4.276
file-memory,8192,18,1.583,4.935
file-memory,8192,19,1.913,4.083
file-memory,8192,20,1.637,4.772
file-memory,16384,1,1.635,9.554
file-memory,16384,2,2.100,7.442
file-memory,16384,3,1.504,10.392
file-memory,16384,4,1.913,8.168
file-memory,16384,5,1.670,9.356
file-memory,16384,6,1.693,9.228
file-memory,16384,7,1.799,8.686
file-memory,16384,8,1.685,9.274
file-memory,16384,9,1.616,9.671
file-memory,16384,10,1.957,7.985
file-memory,16384,11,1.474,10.603
file-memory,16384,12,1.731,9.025
file-memory,16384,13,1.918,8.147
file-memory,16384,14,2.514,6.214
file-memory,16384,15,1.679,9.305
file-memory,16384,16,1.780,8.778
file-memory,16384,17,1.854,8.426
file-memory,16384,18,1.481,10.552
file-memory,16384,19,1.866,8.375
file-memory,16384,20,1.833,8.524
file-memory,32768,1,1.779,17.569
file-memory,32768,2,1.446,21.607
file-memory,32768,3,1.961,15.938
file-memory,32768,4,1.814,17.231
file-memory,32768,5,1.923,16.250
file-memory,32768,6,1.717,18.196
file-memory,32768,7,1.706,18.315
file-memory,32768,8,1.794,17.420
file-memory,32768,9,1.566,19.958
file-memory,32768,10,1.832,17.056
file-memory,32768,11,1.814,17.229
file-memory,32768,12,2.602,12.012
file-memory,32768,13,2.527,12.367
file-memory,32768,14,2.317,13.486
file-memory,32768,15,2.642,11.829
file-memory,32768,16,1.726,18.105
file-memory,32768,17,2.481,12.597
file-memory,32768,18,1.643,19.021
file-memory,32768,19,1.779,17.563
file-memory,32768,20,1.574,19.857
file-memory,65536,1,1.668,37.460
file-memory,65536,2,1.727,36.196
file-memory,65536,3,2.561,24.403
file-memory,65536,4,1.547,40.396
file-memory,65536,5,1.613,38.760
file-memory,65536,6,1.713,36.490
file-memory,65536,7,1.673,37.367
file-memory,65536,8,1.667,37.492
file-memory,65536,9,1.656,37.739
file-memory,65536,10,2.051,30.470
file-memory,65536,11,1.663,37.574
file-memory,65536,12,1.889,33.085
file-memory,65536,13,1.800,34.729
file-memory,65536,14,3.566,17.525
file-memory,65536,15,1.866,33.499
file-memory,65536,16,1.854,33.710
file-memory,65536,17,2.384,26.215
file-memory,65536,18,2.358,26.505
file-memory,65536,19,1.934,32.321
file-memory,65536,20,2.434,25.682
file-memory,131072,1,2.593,48.210
file-memory,131072,2,1.692,73.857
file-memory,131072,3,1.741,71.794
file-memory,131072,4,1.498,83.426
file-memory,131072,5,1.832,68.227
file-memory,131072,6,1.646,75.959
file-memory,131072,7,1.646,75.944
file-memory,131072,8,1.658,75.394
file-memory,131072,9,1.888,66.197
file-memory,131072,10,1.479,84.495
file-memory,131072,11,1.810,69.048
file-memory,131072,12,1.718,72.766
file-memory,131072,13,1.827,68.409
file-memory,131072,14,1.734,72.076
file-memory,131072,15,1.776,70.386
file-memory,131072,16,1.850,67.565
file-memory,131072,17,1.764,70.863
file-memory,131072,18,1.829,68.328
file-memory,131072,19,1.650,75.771
file-memory,131072,20,1.739,71.880
file-memory,262144,1,1.618,154.552
file-memory,262144,2,1.823,137.159
file-memory,262144,3,2.522,99.111
file-memory,262144,4,1.800,138.876
file-memory,262144,5,1.755,142.487
file-memory,262144,6,8.523,29.332
file-memory,262144,7,1.781,140.354
file-memory,262144,8,1.534,162.995
file-memory,262144,9,1.570,159.278
file-memory,262144,10,1.830,136.606
file-memory,262144,11,1.730,144.488
file-memory,262144,12,1.662,150.432
file-memory,262144,13,2.581,96.871
file-memory,262144,14,2.388,104.697
file-memory,262144,15,1.732,144.304
file-memory,262144,16,2.631,95.019
file-memory,262144,17,1.662,150.406
file-memory,262144,18,1.709,146.277
file-memory,262144,19,1.445,172.995
file-memory,262144,20,1.620,154.329
file-memory,524288,1,2.713,184.284
file-memory,524288,2,2.237,223.468
file-memory,524288,3,1.693,295.327
file-memory,524288,4,1.662,300.774
file-memory,524288,5,2.689,185.908
file-memory,524288,6,2.634,189.849
file-memory,524288,7,1.529,326.967
file-memory,524288,8,1.702,293.779
file-memory,524288,9,1.812,275.957
file-memory,524288,10,2.435,205.325
file-memory,524288,11,45.588,10.968
file-memory,524288,12,1.530,326.762
file-memory,524288,13,1.904,262.611
file-memory,524288,14,1.625,307.692
file-memory,524288,15,1.580,316.422
file-memory,524288,16,2.764,180.927
file-memory,524288,17,2.610,191.577
file-memory,524288,18,1.680,297.567
file-memory,524288,19,1.731,288.892
file-memory,524288,20,1.891,264.370
file-memory,1048576,1,2.203,453.944
file-memory,1048576,2,1.856,538.853
file-memory,1048576,3,2.701,370.250
file-memory,1048576,4,2.652,377.080
file-memory,1048576,5,2.571,388.966
file-memory,1048576,6,1.690,591.570
file-memory,1048576,7,1.891,528.949
file-memory,1048576,8,1.629,613.717
file-memory,1048576,9,1.615,619.163
file-memory,1048576,10,1.862,536.925
file-memory,1048576,11,1.849,540.808
file-memory,1048576,12,2.405,415.880
file-memory,1048576,13,2.604,383.957
file-memory,1048576,14,1.621,616.903
file-memory,1048576,15,1.675,597.178
file-memory,1048576,16,1.695,589.985
file-memory,1048576,17,2.513,398.003
file-memory,1048576,18,1.827,547.433
file-memory,1048576,19,2.939,340.285
file-memory,1048576,20,2.434,410.762
file-memory,2097152,1,2.125,941.287
file-memory,2097152,2,2.791,716.621
file-memory,2097152,3,2.779,719.716
file-memory,2097152,4,2.518,794.163
file-memory,2097152,5,3.032,659.730
file-memory,2097152,6,2.275,879.298
file-memory,2097152,7,3.405,587.364
file-memory,2097152,8,2.645,756.239
file-memory,2097152,9,3.050,655.648
file-memory,2097152,10,3.633,550.459
file-memory,2097152,11,2.445,817.940
file-memory,2097152,12,2.643,756.823
file-memory,2097152,13,2.602,768.787
file-memory,2097152,14,2.691,743.103
file-memory,2097152,15,2.798,714.786
file-memory,2097152,16,2.536,788.617
file-memory,2097152,17,2.759,724.944
file-memory,2097152,18,2.665,750.434
file-memory,2097152,19,2.772,721.511
file-memory,2097152,20,2.741,729.550
file-memory,4194304,1,1.837,2177.463
file-memory,4194304,2,2.754,1452.499
file-memory,4194304,3,25.653,155.926
file-memory,4194304,4,2.420,1653.177
file-memory,4194304,5,3.605,1109.506
file-memory,4194304,6,3.588,1114.905
file-memory,4194304,7,3.674,1088.645
file-memory,4194304,8,2.675,1495.071
file-memory,4194304,9,2.704,1479.473
file-memory,4194304,10,2.410,1659.981
file-memory,4194304,11,3.554,1125.637
file-memory,4194304,12,2.648,1510.360
file-memory,4194304,13,3.607,1108.840
file-memory,4194304,14,2.847,1404.885
file-memory,4194304,15,2.868,1394.599
file-memory,4194304,16,2.562,1561.128
file-memory,4194304,17,2.592,1543.036
file-memory,4194304,18,2.653,1507.892
file-memory,4194304,19,2.787,1435.493
file-memory,4194304,20,2.583,1548.637
file-memory,8388608,1,3.646,2194.386
file-memory,8388608,2,3.611,2215.146
file-memory,8388608,3,34.530,231.686
file-memory,8388608,4,5.275,1516.552
file-memory,8388608,5,6.362,1257.450
file-memory,8388608,6,3.718,2151.670
file-memory,8388608,7,4.400,1818.062
file-memory,8388608,8,3.493,2290.514
file-memory,8388608,9,4.131,1936.479
file-memory,8388608,10,3.625,2206.795
file-memory,8388608,11,3.410,2346.356
file-memory,8388608,12,5.248,1524.342
file-memory,8388608,13,4.638,1724.742
file-memory,8388608,14,5.403,1480.545
file-memory,8388608,15,4.339,1843.566
file-memory,8388608,16,6.049,1322.596
file-memory,8388608,17,3.586,2230.924
file-memory,8388608,18,4.404,1816.599
file-memory,8388608,19,3.548,2254.977
file-memory,8388608,20,3.497,2287.920
file-memory,16777216,1,9.580,1670.139
file-memory,16777216,2,8.571,1866.715
file-memory,16777216,3,8.021,1994.784
file-memory,16777216,4,6.985,2290.705
file-memory,16777216,5,37.408,427.716
file-memory,16777216,6,6.809,2349.773
file-memory,16777216,7,5.329,3002.674
file-memory,16777216,8,7.258,2204.388
file-memory,16777216,9,5.431,2945.960
file-memory,16777216,10,7.234,2211.880
file-memory,16777216,11,7.354,2175.724
file-memory,16777216,12,7.288,2195.528
file-memory,16777216,13,7.038,2273.306
file-memory,16777216,14,44.129,362.572
file-memory,16777216,15,7.041,2272.257
file-memory,16777216,16,5.108,3132.392
file-memory,16777216,17,7.256,2204.920
file-memory,16777216,18,5.347,2992.425
file-memory,16777216,19,7.461,2144.569
file-memory,16777216,20,7.220,2216.028
